Episode,Reward,Length
1086,23.0,24
1087,16.0,17
1088,51.0,52
1089,12.0,13
1090,49.0,50
1091,24.0,25
1092,28.0,29
1093,15.0,16
1094,19.0,20
1095,15.0,16
1096,50.0,51
1097,10.0,11
1098,13.0,14
1099,13.0,14
1100,82.0,83
1101,25.0,26
1102,32.0,33
1103,23.0,24
1104,17.0,18
1105,44.0,45
1106,21.0,22
1107,16.0,17
1108,45.0,46
1109,14.0,15
1110,15.0,16
1111,15.0,16
1112,10.0,11
1113,9.0,10
1114,19.0,20
1115,15.0,16
1116,11.0,12
1117,25.0,26
1118,17.0,18
1119,10.0,11
1120,10.0,11
1121,63.0,64
1122,24.0,25
1123,42.0,43
1124,34.0,35
1125,11.0,12
1126,18.0,19
1127,17.0,18
1128,42.0,43
1129,13.0,14
1130,20.0,21
1131,30.0,31
1132,23.0,24
1133,22.0,23
1134,12.0,13
1135,19.0,20
1136,21.0,22
1137,41.0,42
1138,12.0,13
1139,10.0,11
1140,11.0,12
1141,20.0,21
1142,14.0,15
1143,26.0,27
1144,29.0,30
1145,7.0,8
1146,38.0,39
1147,14.0,15
1148,44.0,45
1149,20.0,21
1150,44.0,45
1151,13.0,14
1152,13.0,14
1153,33.0,34
1154,24.0,25
1155,14.0,15
1156,11.0,12
1157,38.0,39
1158,13.0,14
1159,55.0,56
1160,20.0,21
1161,24.0,25
1162,40.0,41
1163,23.0,24
1164,28.0,29
1165,15.0,16
1166,46.0,47
1167,9.0,10
1168,32.0,33
1169,9.0,10
1170,32.0,33
1171,18.0,19
1172,26.0,27
1173,13.0,14
1174,65.0,66
1175,20.0,21
1176,10.0,11
1177,13.0,14
1178,14.0,15
1179,16.0,17
1180,35.0,36
1181,22.0,23
1182,18.0,19
1183,19.0,20
1184,33.0,34
1185,12.0,13
1186,10.0,11
1187,23.0,24
1188,25.0,26
1189,15.0,16
1190,20.0,21
1191,13.0,14
1192,11.0,12
1193,17.0,18
1194,29.0,30
1195,18.0,19
1196,24.0,25
1197,47.0,48
1198,52.0,53
1199,21.0,22
1200,32.0,33
1201,11.0,12
1202,21.0,22
1203,13.0,14
1204,18.0,19
1205,20.0,21
1206,12.0,13
1207,17.0,18
1208,14.0,15
1209,20.0,21
1210,22.0,23
1211,28.0,29
1212,22.0,23
1213,30.0,31
1214,16.0,17
1215,15.0,16
1216,28.0,29
1217,21.0,22
1218,18.0,19
1219,9.0,10
