Episode,Reward,Length
1042,177.0,120
1043,215.0,117
1044,138.0,118
1045,138.0,123
1046,165.0,121
1047,166.0,133
1048,171.0,217
1049,169.0,134
1050,168.0,142
1051,182.0,138
1052,169.0,245
1053,157.0,186
1054,168.0,229
1055,149.0,501
1056,149.0,166
1057,142.0,426
1058,237.0,501
1059,174.0,501
1060,158.0,501
1061,178.0,501
1062,196.0,501
1063,198.0,501
1064,201.0,501
1065,184.0,501
1066,268.0,501
1067,268.0,32
1068,242.0,501
1069,179.0,501
1070,326.0,501
1071,167.0,501
1072,192.0,501
1073,132.0,48
1074,208.0,501
1075,11.0,501
1076,252.0,501
1077,487.0,501
1078,487.0,501
1079,198.0,501
1080,202.0,300
1081,152.0,501
1082,158.0,501
1083,198.0,501
1084,201.0,501
1085,209.0,501
1086,198.0,501
1087,228.0,501
1088,230.0,501
1089,230.0,501
1090,233.0,501
1091,235.0,501
1092,241.0,501
1093,274.0,501
1094,293.0,501
1095,277.0,501
1096,310.0,501
1097,350.0,501
1098,299.0,201
1099,500.0,210
1100,500.0,165
1101,171.0,236
1102,181.0,159
1103,184.0,501
1104,194.0,168
1105,279.0,392
1106,182.0,501
1107,175.0,273
1108,209.0,426
1109,491.0,263
1110,271.0,501
1111,271.0,144
1112,500.0,501
1113,369.0,164
1114,338.0,501
1115,216.0,501
1116,271.0,437
1117,447.0,501
1118,500.0,501
1119,266.0,501
1120,500.0,501
1121,500.0,209
1122,500.0,131
1123,377.0,12
1124,500.0,32
1125,434.0,20
1126,336.0,21
1127,336.0,32
1128,293.0,44
1129,324.0,35
1130,341.0,35
1131,500.0,46
1132,500.0,24
1133,500.0,29
1134,158.0,54
1135,102.0,24
1136,40.0,169
1137,500.0,355
1138,500.0,226
1139,500.0,195
1140,500.0,176
1141,500.0,165
1142,261.0,177
1143,125.0,154
1144,125.0,170
1145,116.0,137
1146,118.0,139
1147,115.0,117
1148,116.0,143
1149,121.0,129
1150,119.0,134
1151,131.0,113
1152,215.0,139
1153,132.0,143
1154,140.0,13
1155,140.0,116
1156,136.0,111
1157,243.0,108
1158,184.0,117
1159,227.0,131
1160,500.0,115
1161,164.0,111
1162,424.0,112
1163,500.0,107
1164,500.0,106
1165,500.0,111
1166,500.0,125
1167,500.0,110
1168,500.0,119
1169,500.0,119
1170,500.0,113
1171,500.0,123
1172,500.0,117
1173,30.0,114
1174,500.0,113
1175,500.0,117
1176,500.0,112
1177,500.0,114
1178,500.0,118
1179,500.0,110
1180,46.0,123
1181,500.0,113
1182,500.0,119
1183,500.0,106
1184,500.0,115
1185,500.0,109
1186,500.0,118
1187,298.0,124
1188,298.0,111
1189,500.0,113
1190,500.0,115
1191,500.0,106
1192,500.0,119
1193,500.0,124
1194,500.0,116
1195,500.0,123
1196,500.0,124
1197,500.0,106
1198,500.0,125
1199,500.0,128
1200,500.0,127
1201,500.0,129
1202,500.0,113
1203,500.0,111
1204,500.0,119
1205,500.0,115
1206,500.0,122
1207,199.0,117
1208,208.0,114
1209,163.0,119
1210,163.0,119
1211,234.0,116
1212,157.0,123
1213,500.0,123
1214,166.0,124
1215,390.0,129
1216,500.0,135
1217,271.0,127
1218,424.0,129
1219,261.0,136
1220,500.0,134
1221,500.0,122
1222,142.0,128
1223,500.0,117
1224,162.0,137
1225,500.0,133
1226,500.0,126
1227,435.0,124
1228,500.0,130
1229,500.0,126
1230,500.0,138
1231,500.0,135
1232,500.0,134
1233,207.0,126
1234,129.0,124
1235,10.0,158
1236,30.0,150
1237,18.0,145
1238,19.0,124
1239,30.0,123
1240,42.0,128
1241,33.0,137
1242,33.0,123
1243,33.0,130
1244,44.0,124
1245,22.0,113
1246,27.0,116
1247,52.0,125
1248,22.0,107
1249,167.0,134
1250,353.0,128
1251,224.0,112
1252,193.0,111
1253,174.0,110
1254,174.0,125
1255,163.0,114
1256,175.0,152
1257,152.0,155
1258,168.0,155
1259,135.0,147
1260,137.0,171
1261,115.0,166
1262,141.0,179
1263,127.0,156
1264,132.0,152
1265,132.0,158
1266,111.0,167
1267,137.0,180
1268,141.0,195
1269,11.0,163
1270,114.0,191
1271,109.0,31
1272,106.0,45
1273,115.0,294
1274,129.0,501
1275,113.0,501
1276,113.0,501
1277,109.0,200
1278,110.0,501
1279,105.0,501
1280,104.0,244
1281,109.0,280
1282,123.0,244
1283,108.0,228
1284,117.0,216
1285,117.0,284
1286,111.0,236
1287,111.0,244
1288,121.0,311
1289,115.0,304
1290,112.0,312
1291,111.0,294
1292,115.0,308
1293,110.0,282
1294,112.0,193
1295,116.0,177
1296,108.0,43
1297,121.0,159
1298,121.0,198
1299,111.0,274
1300,117.0,51
1301,104.0,139
1302,113.0,159
1303,107.0,349
1304,116.0,215
1305,122.0,379
1306,109.0,245
1307,111.0,214
1308,113.0,199
1309,113.0,336
1310,104.0,183
1311,117.0,353
1312,122.0,357
1313,114.0,355
1314,121.0,391
1315,122.0,359
1316,104.0,164
1317,123.0,385
1318,126.0,438
1319,125.0,204
1320,125.0,461
1321,127.0,175
1322,111.0,501
1323,109.0,243
1324,117.0,501
1325,113.0,229
1326,120.0,97
